Hospital Name,Latitude,Longitude,Average Sentiment,Joy,Sadness,Anger,Fear,Disgust,summary
Beth Israel Deaconess HealthCare,42.2737095487723,-71.0697983709587,0.70852475,0.509019,0.177724,0.050909,0.080161,0.059084,Dr. Linh Huynh has been a primary care provider for both her and her parents for years. She is known for being warm and comforting to patients.
Carney Hospital,42.277399,-71.065257,0.541088875,0.233838,0.366932,0.078961,0.117324,0.043424,"summarize: ['I have never been in and out of an ER in less than an hour, EVER!' We were totally amazed with the care and the speed of being seen and treated! What an awesome experience! Thank you!', 'I was placed here for several months during the Covid epidemic in 2020, as a place to recover then move on to rehab. honestly I can barely imagine a worse place to recovering' 'I couldn't move my legs or my left arm at all and my right very little'"
Kenmore - Harvard Vanguard,42.34543692085504,-71.10068165214048,0.571921375,0.286552,0.341575,0.078494,0.114331,0.036437,"""I went to UC in Somerville and was treated by Dr. Beauvais and was delighted with the treatment I received"" ""The nurse at the urgent care was so incompetent it took her 4 times to take my blood pressure, then she spelled my name wrong while registering my lab work"" ""I waited in the Ultra sound area for a test for 3 hours in terrible pain. Terrible communication between desk staff'"
Beth Israel Deaconess Hospital,42.253611,-71.076789,0.53234275,0.207358,0.328677,0.093368,0.116398,0.032247,"Milton Hospital ER gets an A++ on all of that. ""ER was a waste of money and time.. i was they can't do anything unless something is broken"" ""Have a cool portable x-ray machine....11 people from head nurse...:Patients here.. Explains why there sooo slow"" ""They have the bar code +Box code...So they don't amputate the wrong leg"""
Shriners Hospitals for Children,42.36305,-71.06644,0.7862823750000001,0.649664,0.218086,0.020256,0.058702,0.011353,"""Shriners is what a hospital should be - the dedication to care and healing is palpable"" ""The love and care extended not just to the children, but the families is extraordinary"" ""Long may this temple of healing prosper"""
Fenway Health,42.3440775,-71.0989879,0.545026875,0.239981,0.366653,0.077632,0.126017,0.029407,"I have 7 herniated discs, 3 vertebrae compression fracture, no cartilage in my shoulders, wrists, or thumbs due to degenerative joint disease. Just getting from bed to the bathroom to the living room is a challenge every day. Fenway South End has been good. They are not horrible, but I certainly don't feel I have a doctor who is really ready to help me."
Mt Auburn Hospital,42.36444,-71.13513,0.527848125,0.214208,0.340215,0.091625,0.1396,0.062607,The clinic needs a business manager to review workflow and patient service. Mt. Auburn is completely clueless about customer service. There are plenty of other options out there.
Malden Medical Center,42.4305229187012,-71.0575561523438,0.6310607500000001,0.405525,0.410819,0.03212,0.118261,0.012414,"Dr. O'Connor recommends a 3rd year resident with a quick appointment time. Ajla is a fantastic phlabotmist! Just don't use Whidden for other services, especially ER and inpatient."
Harvard University Health Services,42.372236,-71.118665,0.587145,0.303785,0.282986,0.098202,0.101749,0.035043,"University Health Services also have a pharmacy right inside Holyoke Center- which makes coming here very convenient for check-ups and prescription pick-ups. Overall the staff was efficient, friendly, and sympathetic during my visit."
CHA Somerville Campus,42.3904817,-71.1088964,0.50003825,0.161089,0.256789,0.174865,0.13522,0.077176,"The parking attendant charged me $5 for parking there for an hour - but I was only there for 50 minutes. He was very aggressive and I ended up crying because his approach was very intimidating. The $207 charge to see that incompetent doctor because although this place claimed to be an urgent care, it's really a hospital."
Massachusetts General Hospital West,42.39591,-71.2636,0.5943705,0.312939,0.289814,0.073293,0.102289,0.031396,"MGH West is a spacious bank of two, multi-story buildings that include doctor's offices, specialty clinics, radiology and other related services. There are no in-patient beds at MGH West, and there is no Emergency Department or Urgent Care Center."
CHA Everett Hospital,42.409746,-71.03922,0.527185375,0.206412,0.292827,0.099406,0.145031,0.070901,The Whidden hospital in Everett Ma has been rated 3.5 out of 5 stars. The hospital has changed its name to Cambridge Health Alliance because of how many issues they've had over the years. The bathrooms are disgusting.
Arbour-HRI Hospital,42.35074,-71.12113,0.544567625,0.239655,0.349853,0.114227,0.092371,0.045628,"The GAP partial hospitalization program is described by Arbour HRI as ""structured psychiatric care"" The billing dept is disorganized and you never know how much you'll have to pay and they'll lose your bill and then threaten to send you to collections."
CHA Cambridge Birth Center,42.37442,-71.10444,0.6415185,0.396871,0.29547,0.042918,0.081169,0.035779,Cambridge Birth Center is not an all natural birthing center. They heavily push vaccines while pregnant and groom you to come to terms that you will most likely end up in the hospital giving birth. Do NOT go here. There are better options out there.
East Boston Neighborhood Health Center,42.37233,-71.03831,0.547863375,0.242108,0.315461,0.119016,0.105516,0.045532,"'This is honestly the worst hospital of all time. The staff is insensitive, lazy and rude' 'You will never see the same person twice and rarely do you see a doctor' 'The pharmacy drop off is the most unprofessional thing I\'ve ever witnessed'"
Bournewood Hospital,42.298314,-71.149345,0.5515365,0.246703,0.367548,0.071255,0.088812,0.046905,"""Bournewood Hospital is really really horrible. You only meet with a NP there every weekday and that's it. No psychiatrist, no psychologist, no individual therapy!"", ""This is undoubtly the worst Psychiatric Hospital that I have ever been in. The staff is a mixture of young and old women; however, each one of them is hollow, heartless, empathy evades, what be considered a soul"" ""I tried to kill myself while I was in this environment but, I guess God has other plans for me because I ended up barely surviving after strangling myself with?????????"""
Boston STD Clinic,42.3331427,-71.0731756,0.635615125,0.383112,0.270704,0.048638,0.103348,0.024837,"Boston STD clinic is a great place for fast, free, and confidential testing. The front desk staff (especially Grace) is always extremely kind and helpful. The counselors are very comfortable to be around- I am usually shy talking about personal topics."
South Boston Community Health Center,42.33671,-71.0482,0.566846,0.271833,0.323498,0.097225,0.103335,0.028506,"Summarize: [""I have been bringing my kids here for 6 yrs. \xa0Overall the care, convenience and service is excellent. If you are sick and would like to die painfully and slowly at your home, this is the location for you"" ""Whether it was a covid test, vaccine or a normal PCP appointment this place has never let me down"""
South Cove Community Health Center,42.34799,-71.06498,0.503140125,0.16841,0.321921,0.150945,0.126277,0.049376,'Almost all the staffs are rude and unprofessional. Please do yourself a favor and go to Tufts which is down the street. It's like heaven and hell compared to this place.' 'The people at this place needs to learn what manners are and what patient care is!' 'The staff in this place has terrible attitude in person and over the phone'
Mass General Medical Group,42.36252,-71.06434,0.57731325,0.309894,0.341297,0.080644,0.168833,0.030296,"I feel like this is the only hospital in Boston where all the people who work here are sweet, kind, and sensitive to each patients individual needs. BMC, CARNEY, SHATTUCK, all those places have really rude and careless people that work there. I guess BMC can kinda cop out to having to deal with so many people in active addiction, n claim thats why they treat patients like sh**. The first time i got covid, i was taken by ambulance to the CARNEY hospital. They were so mean and wreckless with the way they cared for and spoke to me. I mean i was hallucinating and couldnt breathe. My phone was about to die and my vision was extremly blurry. Although they let"
VA Hospital,42.326987,-71.110637,0.70520625,0.491542,0.156362,0.034152,0.081218,0.052786,"summarize: [""I have had nothing but extraordinary care at both Boston areas locations. I challenge anyone to find better facilities than these.""]"
MIT Medical,42.361309,-71.0866,0.523619375,0.19911,0.363169,0.075861,0.140086,0.028369,"If you value your time and like efficiency, MIT Medical is actually really good. Wait times are high. Regularly wait 20+ minutes for scheduled appointments and 1+ hours for urgent care. Care is inconsistent."
